MANAGING_AGCY_CD,SHORT_DESCR,ClntAgcyCode,AgcyName,project_id,OCCURRENCE_ID,pobject,phasetype,PlannedAmt,CommittedAmt,LiquidatedAmt,AvailableAmt,DataAsOF
850,DSNY - LIGHTING DEBUNDLING PROJECTS                         ,856,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,ACEDOS501,001,CONS,CAP,1323000,1164680,1141409,158320,12/15/2017
850,DSNY - LIGHTING DEBUNDLING PROJECTS                         ,856,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,ACEDOS501,100,IFDS,IFA,130000,129999,76258,1,12/15/2017
850,BELLEVUE INTAKE CENTER                                      ,096,HUMAN RESOURCES ADMINISTRATION,ACSBELL  ,003,DSGN,CAP,70000,70000,70000,0,12/15/2017
850,BELLEVUE INTAKE CENTER                                      ,096,HUMAN RESOURCES ADMINISTRATION,ACSBELL  ,036,CONS,CAP,-361000,0,0,-361000,12/15/2017
850,BELLEVUE INTAKE CENTER                                      ,096,HUMAN RESOURCES ADMINISTRATION,ACSBELL  ,063,EQFN,CAP,1925000,0,0,1925000,12/15/2017
850,CONGREGATE CARE FACILITIES                                  ,096,HUMAN RESOURCES ADMINISTRATION,ACSCCF   ,001,DSGN,CAP,55000,42666,42666,12334,12/15/2017
850,CONGREGATE CARE FACILITIES                                  ,096,HUMAN RESOURCES ADMINISTRATION,ACSCCF   ,006,CONS,CAP,0,0,0,0,12/15/2017
850,BETANCES KITCHEN & ANSUL SUPP(VAR SITES)                    ,125,DEPARTMENT FOR THE AGING,AG1BKE   ,014,CONS,CAP,0,0,0,0,12/15/2017
850,PROJECT OPEN DOOR                                           ,125,DEPARTMENT FOR THE AGING,AG1OPDR  ,020,CONS,CAP,54000,0,0,54000,12/15/2017
850,SIROVICH ROOF AND PARAPET                                   ,125,DEPARTMENT FOR THE AGING,AG1SIRR  ,012,CONS,CAP,16000,0,0,16000,12/15/2017
850,SIROVICH FIRE CODE COMPLIANCE                               ,125,DEPARTMENT FOR THE AGING,AG1SIRR2 ,005,IFSP,IFA,104000,104000,104000,0,12/15/2017
850,SIROVICH-INT WATER DAMAGE REPAIR AND RENOVATIONS            ,125,DEPARTMENT FOR THE AGING,AG1SIRR4 ,004,CONS,CAP,13000,44460,44460,-31460,12/15/2017
850,SIROVICH BUILDING SUPERINTENDENT'S APARTMENT                ,125,DEPARTMENT FOR THE AGING,AG1SIRRSU,006,CTGY,CAP,0,0,0,0,12/15/2017
850,SIROVICH ROOF TERRACE                                       ,125,DEPARTMENT FOR THE AGING,AG1SIRRTE,005,CONS,CAP,0,0,0,0,12/15/2017
850,LENOX HILL PLAZA                                            ,125,DEPARTMENT FOR THE AGING,AGC-LENPL,109,CONS,CAP,0,0,0,0,12/15/2017
850,HOPE GARDENS/ADA (FRONT DOOR)                               ,125,DEPARTMENT FOR THE AGING,AGC001HGM,003,IFSP,IFA,1000,565,565,435,12/15/2017
850,"KINGSBAY SENIOR CENTER, BROOKLYN                            ",096,HUMAN RESOURCES ADMINISTRATION,AGC001KBC,017,DSGN,CAP,5000,5072,5072,-72,12/15/2017
850,Equipment for Providence Rest                               ,125,DEPARTMENT FOR THE AGING,AGDPROVI ,001,EQVH,CAP,50000,50000,50000,0,12/15/2017
850,NYCHANGE PROJECT WITH DFTA                                  ,125,DEPARTMENT FOR THE AGING,AGNYCHANG,006,CONS,CAP,0,0,0,0,12/15/2017
850,NYCHANGE PROJECT WITH DFTA                                  ,125,DEPARTMENT FOR THE AGING,AGNYCHANG,200,DSGN,CAP,0,0,0,0,12/15/2017
850,TODT HILL SENIOR CENTER - A/C SYSTEMS                       ,125,DEPARTMENT FOR THE AGING,AGR001TAC,010,CONS,CAP,56000,0,0,56000,12/15/2017
850,TODT HILL SENIOR CENTER - A/C SYSTEMS                       ,125,DEPARTMENT FOR THE AGING,AGR001TAC,013,CONS,CAP,0,0,0,0,12/15/2017
850,TODT HILL SENIOR CENTER - A/C SYSTEMS                       ,125,DEPARTMENT FOR THE AGING,AGR001TAC,022,CONS,CAP,0,0,0,0,12/15/2017
850,JASA BRONX GROUP SERVICES                                   ,125,DEPARTMENT FOR THE AGING,AGX001LC ,018,CTGY,CAP,17000,0,0,17000,12/15/2017
850,RECONSTRUCTION OF ARMORIES IN BKLYN. AND THE BRONX          ,856,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,ARMORIES ,010,CONS,CAP,12000000,11999999,11869268,1,12/15/2017
850,RECONSTRUCTION OF ARMORIES IN BKLYN. AND THE BRONX          ,856,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,ARMORIES ,013,CONS,CAP,34000,27250,27250,6750,12/15/2017
850,"SERVICE CONTRACT FOR BORINGS, FY08-09                       ",826,DEPT OF ENVIRONMENTAL PROTECTION,BC-10UU  ,007,SVCS,CAP,380000,380469,380469,-469,12/15/2017
850,SERVICE CONTRACT FOR BORINGS                                ,826,DEPT OF ENVIRONMENTAL PROTECTION,BC-10WW  ,021,SVCS,CAP,0,0,0,0,12/15/2017
850,Standard boring contract sewer and watermain                ,826,DEPT OF ENVIRONMENTAL PROTECTION,BC-SE-WM1,001,SVCS,CAP,1000000,1000000,950000,0,12/15/2017
850,"REPLACE 6 IN  MAINS, BKLYN                                  ",826,DEPT OF ENVIRONMENTAL PROTECTION,BED-744  ,002,IFSP,IFA,296000,295776,295776,224,12/15/2017
850,ABANDON HP SYSTEM                                           ,826,DEPT OF ENVIRONMENTAL PROTECTION,BED-752  ,003,CONS,CAP,1467000,0,0,1467000,12/15/2017
850,Betts Boilers Replacement                                   ,827,DEPARTMENT OF SANITATION,ACEDOS503,003,IFDS,IFA,0,0,0,0,12/15/2017
850,BELLEVUE INTAKE CENTER                                      ,096,HUMAN RESOURCES ADMINISTRATION,ACSBELL  ,031,DSGN,CAP,459000,458985,458985,15,12/15/2017
850,BELLEVUE INTAKE CENTER                                      ,096,HUMAN RESOURCES ADMINISTRATION,ACSBELL  ,057,EQFN,CAP,0,0,0,0,12/15/2017
850,Interior and rear courtyard renovations                     ,125,DEPARTMENT FOR THE AGING,AG-1LEON ,007,SVCS,CAP,13000,102814,102814,-89814,12/15/2017
850,LIRA MOTT SEN  CENTER                                       ,125,DEPARTMENT FOR THE AGING,AG-1LIMOT,008,CONS,CAP,0,0,0,0,12/15/2017
850,SCSC-SUNYSIDE COMMUNITY SENIOR CENTER                       ,125,DEPARTMENT FOR THE AGING,AG-QSUNY ,005,CONS,CAP,0,0,0,0,12/15/2017
850,BETANCES KITCHEN & ANSUL SUPP(VAR SITES)                    ,125,DEPARTMENT FOR THE AGING,AG1BKE   ,007,CONS,CAP,0,0,0,0,12/15/2017
850,PROJECT OPEN DOOR                                           ,125,DEPARTMENT FOR THE AGING,AG1OPDR  ,004,CONS,CAP,2750000,2749999,2747335,1,12/15/2017
850,SIROVICH ROOF AND PARAPET                                   ,125,DEPARTMENT FOR THE AGING,AG1SIRR  ,003,DSGN,CAP,12000,0,0,12000,12/15/2017
850,SIROVICH FIRE CODE COMPLIANCE                               ,125,DEPARTMENT FOR THE AGING,AG1SIRR2 ,011,CTGY,CAP,150000,0,0,150000,12/15/2017
850,LENOX HILL PLAZA                                            ,125,DEPARTMENT FOR THE AGING,AGC-LENPL,110,EQFN,CAP,0,0,0,0,12/15/2017
