ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
ACEDOS501,ACEDOS501,Y,Public Buildings,ONENYC,DSNY - LIGHTING DEBUNDLING PROJECTS,"The scope for Lighting Debundle work at 6 DSNY sites consists of:
Providing lighting controller, local controls, occupancy sensors and photo sensors for the garages, along with all other required work associated with the scope.",Implement a building-wide energy efficiency retrofit of electrical systems for six (6) sites.,Unknown,,DCAS,Completed Project,Upgrade,Standard,Requirements TO,DDC Managed,PIMS,FALSE,,,,,DDC
ACEDOS503,ACEDOS503,Y,Public Buildings,TRANSPORTATION,DSNY Betts Ave. Incinerator Boilers Replacement,Removal of two old inefficient oversized Tampella dual-fuel (natural gas / #6 fuel oil) boilers and replacement with high efficiency dual-fuel (natural gas / #2 fuel oil) boilers.  The new boilers will have electronic controls which will fine-tune the firing rate and the replacement blowers will have variable speed drives.,Removal of two old inefficient oversized Tampella dual-fuel (natural gas / #6 fuel oil) boilers and replacement with high efficiency dual-fuel (natural gas / #2 fuel oil) boilers.  The new boilers will have electronic controls which will fine-tune the firing rate and the replacement blowers will have variable speed drives.,Queens,,Sanitation,Construction 0-25%,New Construction,Court Mandated,CM-Build,CM-Build,PIMS,FALSE,,2017,2017,,DDC
ACEDOT601,ACEDOT601,Y,Public Buildings,TRANSPORTATION,EE Measures at Hamilton Administrative Building,"The building, which was constructed in the 1990s, still retains many of its original heating, cooling, and lighting components. We observed that there are many inefficiencies, in addition to the fact that many of the building’s systems are past their useful life. With these energy conservation measures implemented, electricity demand and consumption will be reduced by 36.49 kW and 175,547 kWh respectively. In addition the consumption and natural gas can be reduced by 3,891 therms.",,Brooklyn,,DCAS,,Upgrade,Critical,,,PIMS,FALSE,,,,,DDC
ACEDOT602,ACEDOT602,Y,Public Buildings,TRANSPORTATION,Solar Systems at Two DOT Sights,"This project is being done to help the agency meet the City’s sustainability initiatives—specifically the carbon emissions targets, by reducing GHG emissions by 80% by 2050.  The solar panels will offset the energy use at each of these facilities. 

Industry standards recommend that solar systems be installed on roofs that are not nearing the end of their useful lives.  The Williams bridge Road location has a new roof, and the 206th Street location has a roof that is ten years old, but with many useful years still expected for that facility. No other major renovations are planned for these facilities that would have negative impacts on the solar system after it is installed.",,Manhattan,,DCAS,,Upgrade,Critical,,,PIMS,FALSE,,,,,DDC
ACSLSPCAR,ACSLSPCAR,Y,Public Buildings,CORRECTIONS,1125 CARROLL ST BKLN LSP FACILITY,"Complete the renovation of a State-owned, City-leased facility located at 1125 Carroll Street in Brooklyn that will br used as a limited secure placement facility to be operated by Leake and Watts Services., Inc.",All contract work has been completed. Change order work is 99% and substantial walkthrough took place on 03/24/2017.,Brooklyn,,Children Services,Substantial Completion,Renovation,Emergency,Standard Consultant,CM-Managed,PIMS,FALSE,,,,,
ADULTCARE,ADULTCARE,Y,Public Buildings,EXECUTIVE,Nursing Home/Adult Care Facility (HMGP),Flood mitigation to ensure continuation of power at historically vulnerable long term care facilities through protection and elevation of existing backup power generators and emergency electrical systems to current 500 year flood plain.,,Citywide,,,,Other,,,,PIMS,FALSE,,,,,DDC
AGD_MET,AGD_MET  ,N,,Miscellaneous,Met Council Multi-Service Center,,,,,,,,,,,,,,,,,
AGDCPC,AGDCPC   ,N,,Miscellaneous,Chinese Planning Council Computers/Condo Space Pur,,,,,,,,,,,,,,,,,
AGDDORT,AGDDORT  ,N,,Miscellaneous,"DOROT, INC.",,,,,,,,,,,,,,,,,
AGCOVELLO,AGCOVELLO,Y,Public Buildings,Human Services,LEONARD COVELLO,Scope is to restore the damaged brickwork of the exposed side elevation that is adjacent to a community garden.  The scope also will address the deteriorating masonry chimney.,"Restore damaged brickwork, including deteriorating masonry chimney, on side elevation adjacent to the community garden.",,,Aging,Maintenance,Renovation,Standard,Requirements TO,JOCs,PIMS,FALSE,,,,,DDC
