ProjectId,Benchmark (Y/N),ProjectedProjectStart,ProjectedDesignStart,ProjectedDesignCompletion,ProjectedConstructionStart,ProjectedConstructionCompletion,OrgProjectStart,OrgDesignStart,OrgDesignCompletion,OrgConstructionStart,OrgConstructionCompletion,ClientExtProjectStart,ClientExtOrgDesignStart,ClientExtOrgDesignCompletion,ClientExtOrgConstructionStart,ClientExtOrgConstructionCompletion,ActProjectStart,ActDesignStart,ActDesignCompletion,ActConstructionStart,ActConstructionCompletion,ClientExtBaseDesignCompletion,ClientExtBaseConstructionCompletion,DesignBaselineProjectStart,ConstructionBaselineProjectStart,DesignBaselineDesignStart,ConstructionBaselineDesignStart,OrgSchematicDesignCompletion,ProjectedSchematicDesignCompletion,ActSchematicDesignCompletion,DesignBaselineSchematicDesignCompletion,ConstructionBaselineSchematicDesignCompletion,OrgDesignDevelopmentCompletion,ProjectedDesignDevelopmentCompletion,ActDesignDevelopmentCompletion,DesignBaselineDesignDevelopmentCompletion,ConstructionBaselineDesignDevelopmentCompletion,DesignBaselineDesignCompletion,ConstructionBaselineDesignCompletion,DesignBaselineConstructionStart,ConstructionBaselineConstructionStart,DesignBaselineConstructionCompletion,ConstructionBaselineConstructionCompletion,OrgProjectCloseout,ProjectedProjectCloseout,ActProjectCloseout,DesignBaselineProjectCloseout,ConstructionBaselineProjectCloseout,CreatedDate,ModifiedDate
ACEDOS501,Y,2014-07-11 00:00:00.0000000 +00:00,2014-07-18 00:00:00.0000000 +00:00,2014-12-23 00:00:00.0000000 +00:00,2016-11-10 00:00:00.0000000 +00:00,2017-11-11 00:00:00.0000000 +00:00,2014-07-11 00:00:00.0000000 +00:00,2014-07-18 00:00:00.0000000 +00:00,2014-12-29 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,2016-06-29 00:00:00.0000000 +00:00,2014-07-11 00:00:00.0000000 +00:00,2014-07-18 00:00:00.0000000 +00:00,2014-12-29 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,2016-06-29 00:00:00.0000000 +00:00,2014-07-11 00:00:00.0000000 +00:00,2014-07-18 00:00:00.0000000 +00:00,2014-12-23 00:00:00.0000000 +00:00,2015-08-11 00:00:00.0000000 +00:00,2016-04-08 18:00:00.0000000 +00:00,2014-12-23 00:00:00.0000000 +00:00,2017-11-11 00:00:00.0000000 +00:00,,,,,,2014-09-01 00:00:00.0000000 +00:00,2014-09-01 00:00:00.0000000 +00:00,,,,2014-10-01 00:00:00.0000000 +00:00,2014-10-01 00:00:00.0000000 +00:00,,,,,,,,,2018-06-29 00:00:00.0000000 +00:00,2018-06-29 00:00:00.0000000 +00:00,2017-02-07 00:00:00.0000000 +00:00,,,,2017-09-12 10:25:44.1113172 -04:00
ACEDOS503,Y,2017-02-13 00:00:00.0000000 +00:00,2017-02-14 00:00:00.0000000 +00:00,2017-05-30 00:00:00.0000000 +00:00,2017-07-03 00:00:00.0000000 +00:00,2018-05-31 00:00:00.0000000 +00:00,2017-02-13 00:00:00.0000000 +00:00,2017-02-14 00:00:00.0000000 +00:00,2017-05-30 00:00:00.0000000 +00:00,2017-07-03 00:00:00.0000000 +00:00,2018-05-31 00:00:00.0000000 +00:00,,,,,,2017-02-13 00:00:00.0000000 +00:00,2017-02-14 17:00:00.0000000 +00:00,2017-05-24 00:00:00.0000000 +00:00,2017-07-03 17:00:00.0000000 +00:00,,2017-05-30 00:00:00.0000000 +00:00,2018-05-31 00:00:00.0000000 +00:00,2017-02-13 00:00:00.0000000 +00:00,2017-02-13 00:00:00.0000000 +00:00,2017-02-14 00:00:00.0000000 +00:00,2017-02-14 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2017-03-14 00:00:00.0000000 +00:00,2017-04-14 00:00:00.0000000 +00:00,2017-04-14 00:00:00.0000000 +00:00,2017-04-14 00:00:00.0000000 +00:00,2017-04-14 00:00:00.0000000 +00:00,2017-04-14 00:00:00.0000000 +00:00,2017-05-30 00:00:00.0000000 +00:00,2017-05-30 00:00:00.0000000 +00:00,2017-07-03 00:00:00.0000000 +00:00,2017-07-03 00:00:00.0000000 +00:00,2018-05-31 00:00:00.0000000 +00:00,2018-05-31 00:00:00.0000000 +00:00,2019-03-01 00:00:00.0000000 +00:00,2019-03-01 00:00:00.0000000 +00:00,,2019-03-01 00:00:00.0000000 +00:00,2019-03-01 00:00:00.0000000 +00:00,,2017-09-06 10:32:10.3580276 -04:00
ACEDOT601,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEDOT602,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSLSPCAR,Y,2015-08-20 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-01-07 00:00:00.0000000 +00:00,2016-03-14 00:00:00.0000000 +00:00,2017-08-29 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-01-07 00:00:00.0000000 +00:00,2016-02-05 00:00:00.0000000 +00:00,2016-06-03 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,2016-01-07 00:00:00.0000000 +00:00,2016-02-05 00:00:00.0000000 +00:00,2016-06-03 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2015-10-15 00:00:00.0000000 +00:00,,2016-02-17 00:00:00.0000000 +00:00,2017-03-23 00:00:00.0000000 +00:00,2016-01-07 00:00:00.0000000 +00:00,2017-06-30 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,2018-06-03 00:00:00.0000000 +00:00,2019-10-29 00:00:00.0000000 +00:00,,,,,2017-09-25 17:37:35.4669730 -04:00
ADULTCARE,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCOVELLO,Y,2008-12-23 00:00:00.0000000 +00:00,2011-06-23 00:00:00.0000000 +00:00,2013-01-07 00:00:00.0000000 +00:00,2013-06-03 00:00:00.0000000 +00:00,2015-06-23 00:00:00.0000000 +00:00,2008-12-23 00:00:00.0000000 +00:00,2009-05-27 00:00:00.0000000 +00:00,2010-03-04 00:00:00.0000000 +00:00,2010-09-06 00:00:00.0000000 +00:00,2011-03-27 00:00:00.0000000 +00:00,2008-12-23 00:00:00.0000000 +00:00,2011-06-23 00:00:00.0000000 +00:00,2014-03-11 00:00:00.0000000 +00:00,2014-12-18 00:00:00.0000000 +00:00,2016-03-28 00:00:00.0000000 +00:00,2008-12-23 00:00:00.0000000 +00:00,2011-06-23 00:00:00.0000000 +00:00,2013-01-07 00:00:00.0000000 +00:00,2013-06-03 00:00:00.0000000 +00:00,2015-06-23 00:00:00.0000000 +00:00,2013-01-07 00:00:00.0000000 +00:00,2015-06-30 00:00:00.0000000 +00:00,2008-12-23 00:00:00.0000000 +00:00,2008-12-23 00:00:00.0000000 +00:00,2011-06-23 00:00:00.0000000 +00:00,2011-06-23 00:00:00.0000000 +00:00,2009-09-07 00:00:00.0000000 +00:00,2012-01-03 00:00:00.0000000 +00:00,2012-01-03 00:00:00.0000000 +00:00,2012-01-03 00:00:00.0000000 +00:00,2012-01-03 00:00:00.0000000 +00:00,2010-01-11 00:00:00.0000000 +00:00,2012-08-06 00:00:00.0000000 +00:00,2012-08-06 00:00:00.0000000 +00:00,2012-08-06 00:00:00.0000000 +00:00,2012-08-06 00:00:00.0000000 +00:00,2013-01-07 00:00:00.0000000 +00:00,2013-01-07 00:00:00.0000000 +00:00,2013-06-03 00:00:00.0000000 +00:00,2013-06-03 00:00:00.0000000 +00:00,2015-06-23 00:00:00.0000000 +00:00,2015-06-23 00:00:00.0000000 +00:00,2011-09-27 00:00:00.0000000 +00:00,2016-11-14 00:00:00.0000000 +00:00,2016-11-14 00:00:00.0000000 +00:00,2016-11-14 00:00:00.0000000 +00:00,2016-11-14 00:00:00.0000000 +00:00,,
BED776,Y,2007-02-15 00:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,2018-12-29 00:00:00.0000000 +00:00,2019-07-06 00:00:00.0000000 +00:00,2021-09-09 00:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2009-07-15 00:00:00.0000000 +00:00,2012-01-15 00:00:00.0000000 +00:00,2012-07-15 00:00:00.0000000 +00:00,2014-07-13 00:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2016-10-01 00:00:00.0000000 +00:00,2020-04-11 00:00:00.0000000 +00:00,2020-10-10 00:00:00.0000000 +00:00,2022-10-08 00:00:00.0000000 +00:00,2007-02-15 12:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,,,,2018-12-29 00:00:00.0000000 +00:00,2021-09-09 00:00:00.0000000 +00:00,2007-02-15 12:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,2015-02-16 00:00:00.0000000 +00:00,2010-07-12 00:00:00.0000000 +00:00,2018-01-30 00:00:00.0000000 +00:00,,2018-01-30 00:00:00.0000000 +00:00,2018-01-30 00:00:00.0000000 +00:00,,,,,,2018-12-29 00:00:00.0000000 +00:00,2018-12-29 00:00:00.0000000 +00:00,2019-07-06 00:00:00.0000000 +00:00,2019-07-06 00:00:00.0000000 +00:00,2021-09-09 00:00:00.0000000 +00:00,2021-09-09 00:00:00.0000000 +00:00,2024-09-08 00:00:00.0000000 +00:00,2024-09-08 00:00:00.0000000 +00:00,,2024-09-08 00:00:00.0000000 +00:00,2024-09-08 00:00:00.0000000 +00:00,,
BED777,Y,2007-02-15 00:00:00.0000000 +00:00,2012-07-30 00:00:00.0000000 +00:00,2015-06-25 00:00:00.0000000 +00:00,2016-11-28 00:00:00.0000000 +00:00,2019-11-27 00:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2008-07-15 00:00:00.0000000 +00:00,2011-01-15 00:00:00.0000000 +00:00,2011-07-15 00:00:00.0000000 +00:00,2013-07-13 00:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2012-07-15 00:00:00.0000000 +00:00,2015-01-15 00:00:00.0000000 +00:00,2015-07-15 00:00:00.0000000 +00:00,2017-07-13 00:00:00.0000000 +00:00,2007-02-15 12:00:00.0000000 +00:00,2008-07-15 00:00:00.0000000 +00:00,2015-06-25 00:00:00.0000000 +00:00,2016-11-28 17:00:00.0000000 +00:00,,2015-06-25 00:00:00.0000000 +00:00,2019-11-27 00:00:00.0000000 +00:00,2007-02-15 00:00:00.0000000 +00:00,2007-02-15 12:00:00.0000000 +00:00,2008-07-15 00:00:00.0000000 +00:00,2008-07-15 00:00:00.0000000 +00:00,2010-09-15 00:00:00.0000000 +00:00,2014-09-26 00:00:00.0000000 +00:00,2014-09-26 00:00:00.0000000 +00:00,2014-09-26 00:00:00.0000000 +00:00,2014-09-26 00:00:00.0000000 +00:00,,,,,,2015-06-25 00:00:00.0000000 +00:00,2015-06-25 00:00:00.0000000 +00:00,2016-11-28 00:00:00.0000000 +00:00,2016-11-28 17:00:00.0000000 +00:00,2019-11-27 00:00:00.0000000 +00:00,2019-11-27 00:00:00.0000000 +00:00,2022-11-26 00:00:00.0000000 +00:00,2022-11-26 00:00:00.0000000 +00:00,,2022-11-26 00:00:00.0000000 +00:00,2022-11-26 00:00:00.0000000 +00:00,,2017-08-30 14:23:51.4870776 -04:00
BED778A,Y,2011-06-08 00:00:00.0000000 +00:00,2013-02-19 00:00:00.0000000 +00:00,2019-02-15 00:00:00.0000000 +00:00,2019-06-16 00:00:00.0000000 +00:00,2020-06-15 00:00:00.0000000 +00:00,2011-06-08 00:00:00.0000000 +00:00,2011-12-06 00:00:00.0000000 +00:00,2013-01-14 00:00:00.0000000 +00:00,2013-07-15 00:00:00.0000000 +00:00,2014-07-11 00:00:00.0000000 +00:00,2011-06-08 00:00:00.0000000 +00:00,2012-12-15 00:00:00.0000000 +00:00,2014-07-04 00:00:00.0000000 +00:00,2015-01-02 00:00:00.0000000 +00:00,2016-01-02 00:00:00.0000000 +00:00,2011-06-08 12:00:00.0000000 +00:00,2013-02-19 00:00:00.0000000 +00:00,,,,2019-02-15 00:00:00.0000000 +00:00,2020-06-15 00:00:00.0000000 +00:00,2011-06-08 00:00:00.0000000 +00:00,2011-06-08 00:00:00.0000000 +00:00,2013-02-19 00:00:00.0000000 +00:00,2013-02-19 00:00:00.0000000 +00:00,2012-08-13 00:00:00.0000000 +00:00,2018-08-06 00:00:00.0000000 +00:00,,2018-08-06 00:00:00.0000000 +00:00,2018-08-06 00:00:00.0000000 +00:00,,,,,,2019-02-15 00:00:00.0000000 +00:00,2019-02-15 00:00:00.0000000 +00:00,2019-06-16 00:00:00.0000000 +00:00,2019-06-16 00:00:00.0000000 +00:00,2020-06-15 00:00:00.0000000 +00:00,2020-06-15 00:00:00.0000000 +00:00,2023-06-14 00:00:00.0000000 +00:00,2023-06-14 00:00:00.0000000 +00:00,,2023-06-14 00:00:00.0000000 +00:00,2023-06-14 00:00:00.0000000 +00:00,,
